ProfessorName,Number5s,Number4s,Number3s,Number2s,Number1s
"Kee, J",14,9,5,6,3
"Clark, J",7,6,6,3,1
"Kuo, F",13,2,5,6,2
"Newton, A",14,9,6,6,3
"Wiss, J",11,5,4,4,0
"Kuehn, S",7,2,6,4,0
"Evans, J",2,8,3,2,1
"Simmons, J",12,3,4,5,1
"Irwin, D",0,13,3,4,0
"Laurent, H",11,4,2,3,2
"Hoff, K",5,7,5,4,3
"Sellers, E",13,4,5,2,2
"McCann, K",2,8,3,0,0
"Browning, L",1,11,5,4,3
"Shin, N",2,9,5,6,3
"Finke, M",0,5,1,6,3
"Yedvobnick, D",11,9,5,2,0
"Chambers, L",14,8,6,0,0
"Tseng, P",0,4,3,5,0
"Heil, M",5,2,2,5,1
"Bellington, J",7,2,3,0,1
"Stephens, N",5,9,6,2,1
"Wu, C",9,7,3,6,2
"Parodi, M",3,7,5,3,1
"Bello Uriarte, A",3,10,1,3,1
"Wu, T",1,13,5,0,1
"Yin, W",13,8,6,5,3
"Keane, R",7,2,3,0,1
"Lee, C",10,8,3,0,3
"Switzky, R",11,7,4,2,0
"Dixon, L",8,6,3,1,2
"Petrea, R",14,4,1,4,0
"Lavigne, D",2,13,5,4,3
"Stewart, M",5,2,4,3,3
"Hamor, R",5,9,3,0,0
"Selmic, L",5,12,3,6,1
"Ballantyne, K",2,8,1,3,1
"Zahos, S",7,2,2,2,2
"Sylvestri, R",10,9,3,4,3
"Leman, G",7,2,6,3,0
"Hennessy, T",10,12,6,4,3
"Wu, T",6,6,1,2,1
"McDermott, J",8,12,2,2,2
"Christiansen, R",10,1,5,4,3
"Ye, Y",7,11,3,3,2
"Arends, A",10,10,4,0,2
"Ducker, M",8,9,6,3,1
"Balkan, A",4,12,3,3,3
"Shin, J",4,11,3,3,2
"Ahmed, W",8,5,3,6,2
"Abdel-Khalik, A",5,8,5,4,1
"Jackson, K",10,11,2,1,0
"Lawler, M",4,12,4,5,0
"Whitlock, B",7,8,3,0,0
"Kalish, K",9,8,2,6,0
"McAlpine, W",9,5,4,0,0
"Anand, V",4,11,3,2,0
"Rogalla, V",1,7,1,5,0
"Allen-Smith, J",4,8,2,1,2
"Serra Devesa, M",7,9,6,5,2
"Yan, L",12,2,1,6,3
"Ryu, S",6,4,3,6,0
"Lingala, N",1,7,2,1,3
"Hanley, D",5,1,4,0,0
"Proctor, F",9,7,6,5,3
"Burgoon, L",3,8,5,4,0
"Offenstein, T",9,13,5,5,3
"Cottrell, C",14,5,4,6,1
"Mehta, J",8,13,3,1,2
"Krupp, B",12,9,6,5,2
"Manalansan, M",4,3,6,1,1
"Kozak, D",14,8,4,0,0
"Stokes, E",6,5,4,0,3
"Travis, S",3,12,3,0,3
"Thomas, J",5,4,4,6,0
"Kreindler, K",12,12,2,3,3
"Di Girolamo, L",2,10,3,1,2
"Shabbir, M",8,11,1,1,0
"Lee, S",12,6,3,2,3
"Jang, D",7,6,4,5,2
"Cho, H",2,12,4,6,2
"Arias, R",3,2,6,5,3
"Durukan, A",9,5,1,5,1
"Kim, Y",3,3,5,0,2
"Chung, J",2,8,6,5,3
"Watkins, R",0,5,3,0,2
"Nair, S",10,4,2,5,2
"Schurig Briccio, L",2,12,4,5,1
"Jensen, P",6,8,1,5,0
"Dar, R",2,4,3,3,3
"Micks, T",10,8,1,6,1
"Piacentini, D",10,1,5,4,2
"Emmert, A",5,5,5,4,2
"Bond, T",13,9,3,4,1
"Stynoski, P",6,1,4,2,3
"Ozer, H",6,3,3,4,1
"Najafi, M",7,9,2,3,0
"Abrams, D",2,5,4,2,0
"Lange, D",0,2,1,6,1
"Suh, L",7,8,1,4,1
"Brubaker, R",9,3,2,0,0
"Farooqi, S",5,1,6,3,3
"Duong, K",0,7,6,5,1
"Miller, J",1,10,5,3,0
"Varghese, J",11,4,2,6,3
"Deutscher, W",11,11,4,3,2
"Kim, Y",9,9,4,5,1
"Singh, J",7,3,6,5,0
"McCall, B",1,9,4,4,0
"Subedi, K",12,11,4,0,2
"Fleming, I",10,4,1,1,0
"Bankhead, T",5,12,6,3,2
"Chakraborty, S",7,5,6,6,3
"Brown, D",9,10,2,5,2
"Ritter, E",0,9,1,6,2
"Grigsby, D",14,3,1,1,3
"Dressman, M",9,3,4,6,3
"Skultety, L",14,5,1,1,1
"Jones, A",7,9,4,1,3
"Frieson, B",10,7,2,2,1
"Hunt, A",9,7,6,1,0
"Gipson, C",6,9,5,1,0
"Cantwell, K",2,7,2,1,1
"Burns, K",6,13,2,4,3
"Reynolds-Tylus, T",13,1,3,5,0
"Pitchford, M",12,12,3,3,2
"Saldivar, L",14,13,2,0,0
"Martinez Gonzal, A",5,3,6,6,1
"Bellwood, A",1,4,1,5,0
"Bruner, K",2,2,4,0,1
"Simmons, F",1,5,6,2,2
"Barber, R",3,5,5,0,2
"Parameswaran, A",9,6,6,4,1
"Vaidya, N",2,7,3,0,0
"Lalone, S",5,7,2,5,3
"Nelson, M",14,6,5,6,1
"Nagle, C",0,1,2,2,3
"Wilks, L",0,1,2,1,1
"Maybee, C",1,7,2,6,0
"Packard, J",13,11,1,2,2
"Chen, J",12,3,3,6,3
"Jaramillo Jimen, J",12,6,5,2,3
"Yan, S",5,2,5,3,1
"Sowidan, H",0,4,4,4,0
"Reinhard, K",2,5,3,4,2
"Levinson, S",12,12,1,3,0
"Franke, S",4,3,2,6,1
"Han, Y",6,5,2,3,0
"Kiyavash, N",10,9,6,1,2
"Cantet, M",5,9,5,3,3
"Gonzalez, J",4,3,1,3,2
"Arbelaez Parra, M",5,13,3,4,2
"Tan, D",12,6,5,4,3
"Da Silva Cortes, G",13,7,6,2,0
"Feiger, J",9,7,5,4,3
"Ma, S",0,12,5,3,0
"Valenzuela Rami, I",1,3,1,6,0
"Kwak, E",5,5,1,5,3
"Schneider, R",5,9,6,1,2
"Lee, J",3,6,4,2,1
"Kim, K",6,4,3,1,3
"Jung, W",2,2,6,3,0
"Henao Arbelaez, C",9,13,6,5,3
"Munoz Morales, J",2,12,6,4,0
"Cumings, R",6,5,3,6,2
"Quigley, D",7,9,2,3,2
"Laumer, S",0,7,4,3,1
"d'Almeida, F",1,7,3,6,2
"de Melo Caldas, R",10,8,5,3,0
"Das, S",6,1,6,0,3
"Amini Behbahani, A",14,5,4,6,0
"McMillen, D",6,5,2,0,1
"Marshall, G",1,9,5,4,2
"Hewings, G",7,8,2,2,3
"Koshik, I",0,9,1,4,1
"Saville, J",8,1,6,2,1
"Schaffner, S",9,5,4,3,3
"Lumbley, C",13,2,2,6,0
"Wright, C",2,9,5,3,0
"Lesht, F",14,1,1,3,3
"Zola, D",3,11,5,2,1
"Cox, A",4,6,3,1,1
"King, M",12,10,6,1,0
"Brown, A",12,7,2,1,0
"Huang, L",1,13,4,3,2
"Brown, D",7,1,4,2,2
"Greene, J",10,1,2,4,1
"Rivera, M",5,2,3,4,3
"Sridhar, S",1,9,5,4,2
"Zi, C",14,13,2,6,3
"Lagaras, S",8,9,6,1,0
"Yu, Y",14,6,3,0,3
"Krishnaiah, S",9,12,1,3,0
"McGrath, K",1,4,4,6,1
"Oltheten, E",8,12,6,5,3
"Trembacki, M",7,7,6,4,3
"Thrasher, T",5,2,5,3,3
"Kranz, D",6,13,4,6,3
"Perez, E",7,11,5,4,3
"Stewart, M",5,9,5,4,1
"Brommer, J",2,6,1,3,1
"Jenson, J",1,2,4,3,2
"Kurisu, S",10,11,4,5,3
"Hercog, M",6,2,4,6,2
"Cassinelli, S",7,8,4,6,3
"Larson, R",12,10,1,2,2
"Eby, B",6,4,5,0,0
"Mercer, L",4,2,3,1,1
"Anderson, C",8,4,1,2,0
"Norton, M",14,7,6,1,3
"Branham, B",8,12,4,3,0
"Robertson, H",8,11,2,3,3
"Arias Chauca, L",3,11,4,6,1
"Whitfield, C",4,9,5,0,1
"Oh, S",5,5,4,3,0
"Jones, P",6,1,6,2,2
"Mitts Smith, D",1,5,1,6,2
"Smith, D",8,8,2,4,2
"Cooke, N",12,1,6,4,3
"Fenlon, K",12,3,1,5,0
"Holley, G",14,8,5,1,1
"Box, A",5,8,4,2,3
"Elliott, J",1,8,4,2,3
"Scott, B",0,13,3,2,3
"McLoughlin, G",0,6,4,4,0
"Wiegand, J",1,5,3,1,0
"Martocchio, J",7,12,1,2,0
"Weissman, B",10,2,4,3,3
"Im, S",11,9,6,4,0
"Choi, S",6,7,3,1,3
"Madarieta, E",11,13,4,5,3
"Ortiz, L",2,1,5,1,3
"Camacho, A",10,6,3,4,2
"Molina, I",13,3,5,4,0
"Ban, Y",7,10,4,0,3
"Wilson, K",8,5,1,2,3
"Kristensen, M",9,2,3,6,0
"Parrott, J",12,11,1,5,1
"Grosse, M",8,3,3,5,0
"Brown, S",12,7,3,2,2
"Wright, B",6,12,4,4,2
"Madden, E",4,11,2,3,3
"Mastroeni, M",4,4,5,6,2
"Burson, H",0,5,5,4,0
"Zhang, X",14,13,3,5,0
"Martinez Robles, J",6,13,2,1,2
"Escobar Vega, L",8,11,3,2,3
"Anema, J",4,1,5,1,2
"Stone, C",1,12,1,1,1
"Ruan, Z",2,5,3,3,0
"Contreras Palac, I",9,4,3,6,1
"Li, S",5,4,3,4,0
"Park, H",0,1,2,3,0
"Nelson, M",11,1,2,4,2
"Grinberg, I",7,3,4,1,0
"Jassim, E",3,12,4,4,2
"Maass, C",4,4,6,3,0
"Ferguson, A",5,10,6,2,0
"Das Neves Barbo, C",4,7,3,0,3
"Murray, P",9,2,1,2,3
"Schmidt, M",11,11,1,2,3
"Vanegas Ruiz, N",3,5,5,4,2
"Gardner, J",2,4,2,4,3
"Kinderman, W",4,7,4,1,0
"Haken, R",9,1,2,5,1
"Singer, C",1,8,6,3,0
"Rock, D",10,12,2,0,1
"Meyer, D",11,3,1,5,0
"Gilbert, D",6,9,1,3,2
"Louzon, N",10,12,4,5,2
"Rokosz, S",5,3,2,5,1
"Kuhlman, T",10,8,6,6,0
"Mason, N",2,13,2,4,2
"Wagner, L",11,13,6,6,3
"Chaudoin, S",4,3,5,0,2
"Amrhein, R",7,1,6,0,0
"Uddin, E",12,11,2,3,0
"Bub, K",6,4,4,4,3
"Brinks, M",11,6,2,1,3
"Jaber, H",9,8,2,1,0
"McKim, R",6,3,4,1,3
"Green, B",2,7,4,2,2
"Huang, Z",13,7,1,5,0
"da Costa Cardos, N",8,9,6,3,2
"Rispoli, M",14,11,1,6,2
"Lowrie, L",1,2,5,1,1
"Sawyer, J",8,9,2,0,1
"Johnson, C",2,2,1,2,2
"DeThorne, L",7,12,3,1,3
"Asminkin, I",7,6,6,0,2
"Baker, P",3,9,5,6,2
"Dill, B",9,4,3,5,2
"King, T",2,4,5,2,1
"Tabb Dina, K",10,8,1,0,3
"Windsor, L",8,1,2,6,1
"Keenan, K",14,4,2,2,1
"Casey, A",14,3,6,6,0
"Smith, D",1,2,4,0,1
"Larrison, C",3,9,4,2,3
"McDonald, H",10,10,2,4,1
"Gonzalez Boluda, M",6,7,1,5,0
"Rector, A",10,11,3,4,0
"Hurtado Ruiz, I",1,2,2,3,1
"Formentini, S",11,4,2,6,2
"Deng, Y",1,9,1,6,1
"Gweon, H",3,11,1,4,2
"Park, Y",11,7,1,3,1
"Hu, Y",6,11,4,0,2
"Zhang, B",8,6,4,0,3
"Thomas, K",3,7,3,3,0
"Epplett, S",1,10,3,3,2
"Coughtry, C",4,11,1,1,3
"Kadish, J",6,2,6,3,0
"Miller, M",6,1,5,0,3
"Prentiss, M",13,6,3,1,0
"Sears, R",8,1,3,6,1
"Wilson, C",0,2,5,1,1
"Gleaves, J",0,4,3,3,1
"Shryock, J",1,3,1,5,2
"Whitesell, M",12,5,5,0,2
"Fenske, K",1,13,3,4,0
"Cooke, R",7,5,5,0,0
"Ford, S",14,5,3,5,2
"Prochaska, N",10,12,6,2,1
"Braun, L",10,3,5,1,2
"Whittington, J",9,1,2,5,0
"Coleman, D",9,4,5,3,2
"Solter, P",0,6,4,5,3
"Keblusek, M",9,7,3,0,0
"Kim, M",7,4,4,2,0
"Zachwieja, A",9,6,6,2,2
"Chue, C",4,3,1,4,1
"Marrs, G",6,10,4,4,2
"Ritthamel, J",13,10,4,0,0
"Pedretti, B",12,3,3,6,0
"Walters, F",8,11,6,6,3
"Heil, M",7,1,1,6,0
"Rhea, H",4,6,3,4,0
"Nell, T",0,5,1,0,2
"Thomas-Ward, J",10,3,2,6,1
"Pierce, J",5,10,1,3,0
"Mayer, A",11,10,1,4,2
"Egizio, L",12,9,3,5,1
"Essick, R",14,5,2,3,3
"Leem, J",0,4,3,0,3
"Lee, A",7,4,2,5,2
"Chung, G",11,3,4,1,1
"Green, A",1,7,3,6,3
"Kiesewetter, N",14,9,1,4,2
"Mammen, G",4,9,3,2,2
"Bauer, T",5,4,1,1,2
"Chandler, J",11,4,3,5,2
"Hart, M",5,3,5,2,0
"Engle, H",4,13,1,3,0
"Chorvat, E",7,2,4,1,2
"Mudd, G",2,5,2,2,0
"Kesan, J",14,12,3,6,0
"Palma Salgado, S",7,8,5,3,1
"Murray, J",10,10,5,1,0
"Nickols, S",3,1,5,3,0
"Ghosh, A",13,9,1,5,0
"White, S",6,2,1,0,1
"Voulgaris, P",14,8,5,0,0
"Prussing, J",7,12,4,4,2
"D'Urso, S",4,6,3,0,3
"Balajewicz, M",3,9,1,4,0
"Namachchivaya, N",0,13,5,3,0
"Rasberry, M",1,8,3,5,1
"Hackett, M",5,5,6,3,1
"Johnson, J",7,8,4,2,1
"Mitalski, M",9,5,4,0,2
"Sethi Suresh, S",14,3,1,4,2
"Goggin, N",2,12,1,2,3
"Bowman, M",1,5,3,6,0
"Taylor, G",1,8,4,4,0
"Hansen, M",9,7,3,0,3
"Kienke, C",9,1,2,1,3
"Belanger, N",3,9,4,6,1
"Garth, M",1,5,4,2,1
"Wefel, K",9,8,6,3,2
"Barnes, A",10,4,6,5,0
"Jones, D",10,2,2,3,1
"Downs, J",1,2,6,0,2
"Kelley, S",9,3,5,4,3
"Murphy, P",10,4,6,3,1
"Imoukhuede, P",0,10,4,3,2
"Lu, T",9,4,2,1,2
"Mesri, G",3,2,4,6,2
"Aghajani, A",2,6,2,2,2
"Fuerste, W",14,3,2,2,3
"Raja, S",9,10,4,6,2
"Davydovich, O",12,7,6,0,3
"Chheda, M",0,9,1,3,3
"Weigle, A",1,8,4,3,2
"Singh, D",5,10,2,6,1
"Xue, T",5,12,4,2,1
"Hagler, B",2,1,5,3,2
"Joulani, D",12,2,6,6,1
"Bandas-Rivera, C",0,10,4,0,3
"Liao, C",3,2,2,2,0
"Barrick, S",14,13,5,0,2
"Dykstra, C",14,11,6,2,1
"Strasser, C",11,9,5,1,3
"Klauck, A",2,8,3,6,0
"Devasia, D",13,10,4,6,0
"Vura-Weis, J",6,3,6,2,0
"Moore, J",8,10,3,1,2
"Weitzel, A",8,7,2,3,3
"Oldfield, E",12,8,6,4,3
"Hammes-Schiffer, S",8,6,5,4,1
"Hull, K",9,9,5,5,0
"Makri, N",0,4,3,1,0
"Moffitt, B",1,2,3,4,1
"Mena Robles, J",8,12,3,2,0
"Otchere, K",12,5,6,5,0
"Willetts, V",4,6,5,4,3
"Park, J",1,13,2,2,3
"Lee, C",5,6,3,2,3
"Brown, D",10,12,6,6,0
"Huang, M",3,13,3,0,1
"Abendschein, B",6,5,2,2,2
"Skubisz, C",4,10,2,3,0
"Deem, L",8,3,2,1,2
"Kolb, F",5,3,4,2,3
"Pitt, L",9,2,6,5,2
"Snir, M",13,5,4,4,0
"Caccamo, M",14,6,2,3,0
"Yershova, G",6,10,5,3,2
"Smith, M",3,9,2,1,2
"Monson, J",3,1,6,2,2
"Frost, E",8,5,5,5,0
"Portier, K",9,13,5,3,0
"Allen, J",14,6,3,6,3
"Kang, X",10,8,2,3,3
"Hutchinson, S",14,9,6,1,3
"Oelze, M",6,7,5,0,0
"Liu, G",12,6,6,2,3
"Kindt, J",8,13,6,2,1
"Hurtado Martill, C",0,11,6,3,3
"Gahvari, F",11,9,6,1,0
"Koissaba, S",3,6,2,6,2
"Vargas, G",9,4,4,5,1
"Harless, J",0,4,5,0,2
"Garner, P",1,6,1,0,3
"Bell, S",8,12,1,2,2
"Sawwan, R",5,13,2,0,2
"Dullea, D",10,2,2,1,3
"Farmer, C",4,13,4,2,2
"Garcia, F",2,7,1,5,3
"Baron, D",3,12,5,1,1
"Welton, A",1,10,1,2,0
"Rodriguez, S",5,6,6,6,1
"Vander Most, N",13,4,4,3,1
"Davis, D",3,5,5,6,1
"Fullerton, D",5,10,1,4,1
"Gambera, M",10,13,1,4,2
"Burkel, A",5,12,2,1,0
"Blake, N",6,6,6,4,0
"Andrade, J",10,3,1,0,1
"Parker, A",9,4,2,1,1
"Biehl, M",11,10,6,2,3
"Stock, R",3,5,6,3,2
"Ribot, J",2,13,2,2,1
"Zhao, F",5,13,2,3,0
"Albright, J",4,10,4,1,2
"Rose, R",8,12,4,4,2
"Sellinger, D",2,4,6,3,3
"Tzirides, A",11,3,1,6,0
"Allen, C",2,13,1,5,2
"Harden, B",3,2,4,5,1
"Brooks, J",14,13,1,6,0
"Minnett, J",8,7,5,2,3
"Thrill, C",1,9,2,1,3
"O'Brien, N",1,10,1,2,3
"Winterbotham, L",9,13,1,1,3
"Robertson, P",5,8,2,2,1
"Whittaker, A",6,12,4,6,1
"Green, C",5,10,6,2,1
"Rabin, D",13,3,5,0,3
"Date, K",7,13,4,1,2
"Vizcarra-Catala, M",4,5,6,0,0
"Berger, S",7,5,3,0,1
"Meyer, E",9,11,3,0,0
"Chaparro, G",8,9,1,1,3
"Evans, N",12,11,6,0,2
"Trinh, L",3,12,2,6,3
"Castaneda, Y",10,3,4,6,2
"Middleton, I",2,11,2,4,3
"Reynolds, L",4,2,1,4,2
"Walker, T",5,3,3,2,1
"Braun, M",14,7,1,1,2
"Robbins, A",11,3,3,4,1
"Gorman, J",10,12,1,6,0
"Olson, C",0,9,3,2,1
"Chen, Y",0,1,5,1,0
"Bryce, W",7,2,6,6,0
"Glisch-Sanchez, D",9,6,2,1,3
"Diaz-Kozlowski, T",1,2,3,3,1
"Paredes, V",2,5,1,5,0
"Chenyek, R",14,12,4,1,3
"Sun, H",10,10,3,4,3
"Song, Y",1,2,5,5,2
"Pandey, A",13,11,3,4,0
"Bernshteyn, A",2,7,6,6,1
"Weigandt, A",14,12,6,3,2
"Heath, E",3,7,4,3,0
"Kapovich, I",1,8,6,0,1
"DeVille, R",9,6,5,0,1
"Wang, J",8,1,4,0,0
"Woo, A",1,1,4,1,2
"Feng, R",4,2,2,5,3
"Grosman, C",9,13,4,1,3
"Wildman, D",6,10,4,1,2
"Wang, C",10,5,4,6,1
"Tse, P",2,10,1,6,2
"Solis, G",6,6,6,3,1
"Allain, J",8,2,2,3,1
"Kelly, J",3,7,4,0,3
"Sachdev, M",8,6,2,2,1
"Enderer, B",14,2,5,6,0
"McCarthy, T",12,8,1,2,1
"Wengert, R",12,12,5,6,0
"Yang, L",9,8,6,0,0
"Leggett, A",11,4,1,2,1
"Selvin, P",3,2,2,1,1
"Shapiro, S",13,9,2,2,0
"Mideros Mora, S",7,3,6,6,1
"Lassi, L",13,6,1,2,3
"Bowers, J",8,12,2,2,1
"Winters, M",11,13,6,1,0
"Chaudoin, R",3,2,4,4,2
"O'Brien, M",9,9,4,4,3
"Benjamin, A",8,8,4,6,0
"Fairbairn, C",7,10,3,4,3
"Schwarb Rohrig, H",0,9,1,5,2
"Collins, S",7,1,5,4,1
"Phan, W",13,12,1,5,2
"Chang, H",4,10,4,5,3
"Davis, L",3,13,1,4,2
"Reinke, J",10,5,3,0,0
"Chalip, L",7,8,6,3,3
"Gooler, D",12,2,4,6,0
"Leverich, S",10,12,2,3,2
"Gower, R",3,13,1,2,2
"Sattari, N",13,12,5,5,2
"Bu, Q",3,3,4,5,0
"Sandefur, R",0,7,5,6,0
"Camp, D",14,6,4,0,2
"Hernandez, R",8,10,5,3,0
"Zhan, M",1,2,2,6,3
"Escobar-Sawicki, C",8,12,3,5,0
"Kang, S",4,13,1,6,0
"Fischer, K",3,9,4,0,3
"Laumann, B",12,3,4,1,2
"Corr, C",4,2,3,0,0
"Sass, D",4,2,3,0,1
"Ouyang, Y",6,13,2,4,2
"Biscarri, W",12,4,2,5,0
"Song, Y",10,8,2,3,3
"Sohn, M",0,13,2,3,2
"Pantano-Rubino, C",12,9,5,0,2
"Boesche, J",11,10,5,0,0
"Harper, J",2,1,2,1,1
"Chu, M",9,4,1,1,2
"Tyler, E",5,11,1,5,2
"Eisenburger, M",11,10,1,0,0
"Olshansky, R",14,8,2,5,0
"Harwood, S",10,4,2,3,2
"Anderson Bliss, J",5,11,5,2,0
"Lee, J",13,1,4,5,0
"Eng, C",14,1,4,1,3
"Gebhardt, A",9,7,5,1,2
"Jones, B",14,7,1,0,0
"Pietura, M",0,5,4,5,0
"Shen, H",8,9,2,3,3
"Valentine, C",10,4,6,4,0
"Silver, P",12,6,4,4,0
"Waddock, M",12,10,1,0,1
"Agapito, C",9,6,2,4,1
"Coady, J",11,9,2,6,3
"Chen, M",7,8,6,1,0
"Schraiber, R",0,10,1,6,1
"Winn, A",4,1,3,6,3
"Vance, T",2,8,4,4,1
"Lisowsky, P",7,12,6,4,3
"Henderson, B",0,3,5,5,2
"Bodtke, J",14,8,2,4,3
"Cox, S",9,6,3,1,1
"Elliott, W",3,9,3,6,3
"Bergmann, G",5,5,2,4,0
"Cruz, J",6,1,3,6,0
"Zeedyk, B",0,2,2,5,0
"Kirwan, B",4,4,2,1,3
"Hartmann, N",13,1,2,0,3
"Burton, R",6,11,6,0,1
"Thompson-Spires, N",11,7,3,6,2
"Rodriguez, M",13,6,6,0,3
"Theobald, B",13,3,6,5,0
"Andress, J",11,12,1,1,3
"de Flamingh, A",2,6,1,2,1
"Loerch, S",14,3,5,0,0
"Finley, A",14,11,3,5,3
"Saul, M",5,2,4,1,1
"Niculescu, T",12,12,6,3,2
"Schwenk, D",11,11,5,0,0
"Uihlein, M",9,3,2,3,0
"Brunel, N",4,7,2,1,0
"Bai, Q",11,7,4,5,3
"Craven, E",1,1,3,1,0
"Shea, L",4,9,4,4,3
"Evans, J",14,12,3,0,0
"Dalal, N",4,10,3,5,1
"McFarquhar, G",0,5,5,1,2
"Schlesinger, M",10,7,1,4,3
"Gajendran, R",12,4,2,4,0
"Anand, S",6,1,6,4,3
"Otnes, C",7,11,6,4,1
"Yang, Y",14,12,5,6,2
"Elsaleiby, A",8,3,1,3,1
"Lim, M",1,3,5,6,2
"Echambadi, R",13,5,6,2,3
"Isserman, N",12,13,1,0,1
"Northcraft, G",7,2,2,1,3
"Bercovitz, J",11,13,4,6,0
"Maslov, S",12,2,6,3,2
"Liepert, S",3,3,4,2,1
"Im, J",9,13,2,4,0
"Wilson, G",11,8,5,2,3
"Bascom, B",1,8,6,3,1
"Akono, A",4,7,5,0,2
"Vogel, T",12,10,1,2,1
"Abunada, I",7,7,4,5,3
"Namkoong, M",7,2,5,2,3
"Chu, Y",12,4,3,3,1
"Yoakum, D",1,10,4,4,2
"Patel, M",14,9,5,0,1
"Edwards, M",0,9,5,0,0
"Zhang, J",13,10,6,5,1
"Newman, K",10,2,3,1,0
"Vallapurackal, A",9,9,5,2,1
"Schwandt, W",14,1,6,3,2
"Li, X",3,13,5,5,2
"Shari'ati, Y",4,2,3,5,2
"Dahodwala, M",11,6,5,0,2
"Kravchuk, V",12,2,6,4,3
"Mensah, D",12,1,4,3,0
"Daly, C",14,1,6,2,0
"Patel, S",0,9,1,3,0
"Muhammad, S",1,11,4,3,0
"Adams, G",13,8,2,6,1
"Derk, G",2,1,5,6,1
"Orazio, E",8,4,2,0,3
"Blackstone, S",3,13,5,3,2
"Jones, A",11,3,4,5,1
"Kennett, K",8,4,1,3,2
"Smith, P",12,10,4,6,0
"Valderrama Sepu, L",13,5,4,4,1
"Chaitra Shivapr, U",13,7,1,4,3
"Murillo, L",9,3,1,3,2
"Morrisette, S",6,9,4,3,1
"Linares, R",7,13,5,2,1
"Carr, B",7,1,3,0,3
"Foulk, J",14,10,3,3,2
"Arampapaslis, K",1,4,1,6,1
"Hall, A",9,5,2,3,2
"Witzke, S",0,8,5,0,1
"Proulx, J",11,4,5,3,3
"Weeks, K",3,8,6,2,1
"Wang, N",5,8,6,5,3
"Roache, D",11,2,5,4,0
"Bisbee, D",13,4,2,1,3
"Nafziger, E",10,1,6,6,0
"Chapman, W",13,3,6,4,0
"Heeren, C",9,4,6,4,2
"DeJong, G",3,2,4,0,3
"Roth, D",4,2,5,5,2
"Lavalle, S",1,7,2,0,3
"Kraker, M",14,12,4,0,2
"Brissey, C",9,3,6,2,2
"Cagle, R",12,12,2,0,2
"Chen, X",9,13,5,4,1
"Brown, D",1,11,5,6,2
"Lim, T",8,7,6,0,1
"Wei, M",4,1,1,6,1
"Baryshnikov, J",0,6,1,5,3
"Zhu, H",7,8,2,2,2
"Chew, W",3,13,2,3,1
"Diaz Klaassen, F",9,2,5,3,1
"Xu, J",7,1,3,6,1
"Ham Gonzalez, A",4,7,1,0,0
"Liu, Y",10,4,1,2,1
"Corredor Waldro, A",7,2,4,3,0
"Kim, J",10,9,3,1,0
"Chen, Y",9,7,4,1,2
"Czurylo, T",9,3,4,1,0
"Xue, L",8,12,5,5,0
"Shappo, M",9,1,5,0,2
"Xu, H",1,13,4,2,2
"Halim, D",8,2,4,4,3
"Set, E",11,6,2,4,1
"Mashhadi Faraha, A",2,1,1,0,2
"Kim, G",13,12,2,1,0
"Dogan, O",0,1,5,5,1
"Yang, L",11,1,1,4,3
"Li, Z",5,9,3,0,2
"Wang, X",1,2,2,1,2
"Buiatti, C",13,5,1,0,1
"Cleeton, D",5,5,3,4,0
"Williams, J",1,6,2,6,2
"West, A",7,3,3,6,1
"Harris, T",4,6,4,3,2
"Litchfield, J",1,7,4,0,1
"Wong, J",0,4,1,3,3
"Higgins, C",2,8,2,4,3
"Perlus, J",7,7,4,1,2
"Hoang, T",12,6,6,2,1
"Dawson, D",14,5,5,5,3
"Timmer, J",0,9,1,3,2
"Parsons, M",10,4,4,0,0
"Xu, H",2,6,2,5,1
"Gao, M",10,11,2,5,3
"Han, X",11,2,2,1,1
"Vonnahme, M",2,11,5,3,0
"Strole, N",0,2,3,5,1
"Harmon, A",4,6,2,0,2
"Tappenden, K",7,6,6,2,1
"Rai, P",4,6,2,3,3
"Tripathy, P",9,7,1,3,2
"Zhang, Z",13,9,3,1,1
"Malinowski, J",2,11,4,1,3
"Markiewicz, S",12,2,3,3,2
"Kasper, B",10,3,6,0,0
"Muniandy, P",12,9,1,5,2
"Kohli, T",12,4,2,3,0
"Renn, D",13,1,3,6,0
"Sugrue, N",10,6,6,0,2
"Mendez, S",14,2,6,0,2
"Monk, J",2,13,3,4,0
"Coba-Rodriguez, S",4,5,3,6,1
"Hernandez, C",3,6,5,6,3
"Bamberger, B",3,9,2,4,1
"Levy, J",7,8,6,4,3
"Hughes, M",2,2,5,4,3
"Grennan, A",7,2,5,0,0
"Marcot, J",4,6,4,5,0
"Kendall, K",3,9,3,6,1
"Hansen, A",9,3,6,4,0
"Solter, L",14,4,1,3,0
"Sanchez, J",7,10,1,0,2
"Xin, L",7,5,4,3,1
"Aguayo, L",13,3,1,5,1
"Peters, J",12,1,6,0,3
"Strom, D",2,4,3,3,3
"Hua, A",1,5,1,6,2
"Kinnett-Hopkins, D",2,13,3,1,3
"Palac, D",7,12,5,4,2
"Sebastiao, E",2,13,6,1,0
"Adamson, M",3,12,3,1,3
"Graber, K",0,3,6,6,1
"Song, J",7,7,1,2,0
"Emmerling-Dinov, C",8,7,5,1,1
"Deming, M",10,10,3,2,2
"Bell, G",5,2,3,6,1
"Lash, K",13,9,1,2,1
